first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Sung-yueng,Ki,0,1,38,1298,20,258.4,163.2,45,1,197,46.7,4,0,2,0.1,47,324
Dwight,Gayle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,60,325
Ayoze,Pérez,12,2,141,2916,35,585.6,783.6,954,19,541,232.1,11,0,2,3.4,61,326
Jose Luis,Mato Sanmartín,2,0,30,586,15,35.9,121.4,290,3,89,44.6,1,0,1,2.1,47,327
Robert Kenedy,Nunes do Nascimento,1,1,50,1337,18,187.9,212.8,297,1,161,69.8,6,0,1,0.5,47,458
Fabian,Schär,4,1,93,2000,23,148.6,669.4,220,9,403,103.8,7,0,12,1.3,45,482
Yoshinori,Muto,1,0,24,514,10,66.8,71.8,140,0,65,27.4,1,0,1,0.1,56,488
Salomón,Rondón,11,8,148,2601,31,468,645.6,1249,20,466,236,9,0,1,7.7,59,493
Federico,Fernández,0,2,47,1482,24,63.7,350,70,5,277,48.5,3,0,2,0.2,44,516
Jamie,Sterry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,530
Sean,Longstaff,1,1,26,686,9,71.8,130.4,106,1,117,30.9,3,0,2,0,45,531
Frederick,Woodman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,553
Callum,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,577
Miguel,Almirón,0,2,28,758,11,189.8,121.4,235,0,107,54.6,3,0,0,0.2,60,587
Antonio,Barreca,0,0,1,4,0,0,0.2,0,0,3,0,0,0,0,0,41,588
Kelland,Watts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,622
Lewis,Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,623
Danny,Ings,7,3,90,1650,27,346.9,433.8,808,11,310,158.4,5,0,1,3.2,54,258
Alex,McCarthy,0,0,73,2250,44,0,585.2,0,6,414,58.6,4,0,1,2,43,328
Fraser,Forster,0,0,2,90,3,0,22.2,0,0,13,2.2,0,0,0,0.6,42,329
Ryan,Bertrand,1,0,56,2160,42,379.4,326.8,123,1,291,82.6,6,0,8,2.4,48,330
Maya,Yoshida,0,1,44,1518,29,57.4,387,189,4,278,63.4,3,0,0,1.1,41,331
Cédric,Soares,1,2,52,1493,31,226.5,309,103,7,273,63.9,4,0,4,2.1,42,332
Jack,Stephens,1,0,47,1697,35,65.5,394.4,143,4,282,60.4,3,0,4,0.3,42,333
Sam,McQueen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,334
Jan,Bednarek,0,1,49,2150,37,108.8,616,91,3,365,81.9,3,0,7,7.4,40,335
Wesley,Hoedt,0,0,29,1170,24,20,283.6,41,3,206,34.7,4,0,2,0.2,42,336
Steven,Davis,0,1,9,97,4,41.6,38.8,2,2,39,8.2,0,0,0,0,46,337
James,Ward-Prowse,7,0,94,1940,41,695.8,592,387,15,390,167.4,3,0,4,3.7,51,338
Oriol,Romeu Vidal,1,0,55,2131,37,158.4,455.2,124,3,282,74,6,0,11,2.2,42,339
Pierre-Emile,Højbjerg,4,3,90,2760,59,445.6,616,421,8,477,148.8,4,2,7,3.2,44,340
Sofiane,Boufal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,341
Joshua,Sims,0,1,11,208,6,18.5,21.8,56,0,27,9.6,0,0,0,0,44,342
Nathan,Redmond,6,5,137,3272,58,802.3,665.4,950,12,433,241.4,9,0,3,6.9,55,343
Mario,Lemina,1,2,50,1612,37,214.7,313,188,2,270,71.6,4,0,5,0.2,47,344
Stuart,Armstrong,3,4,75,1421,26,392.4,305.6,379,3,269,107.5,5,0,2,0.2,51,345
Mohamed,Elyounoussi,0,0,28,785,10,228.3,94.2,220,0,91,54.2,4,0,0,0.1,60,346
Shane,Long,5,2,66,1260,24,179.2,248.6,417,5,191,84.2,2,0,3,4.9,47,347
Charlie,Austin,2,2,46,970,17,115.3,158.4,405,1,117,67.4,5,0,1,0.4,55,348
